Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,Renminbi Yuan
3036300,Frozen cod,106823,Kilogram,0,?,2687560.0
3036700,Frozen Alaska Pollack,1620842,Kilogram,0,?,13432931.0
3038200,Frozen rays and skates,20200,Kilogram,0,?,849810.0
3038400,Frozen seabass,49810,Kilogram,0,?,1851101.0
3038910,Frozen scabber fish,117405,Kilogram,0,?,6125284.0
3038920,Frozen yellow croaker,660409,Kilogram,0,?,22757270.0
3038930,Frozen butterfish(other than silver pomfrets),183807,Kilogram,0,?,6084695.0
3038990,"Frozen fish, nes",11433838,Kilogram,0,?,274487520.0
3039100,"Frozen fish liver, roes and milt",279883,Kilogram,0,?,113514753.0
3039900,Other frozen edible fish offal,386156,Kilogram,0,?,20018225.0
3043900,"Fresh or chilled fillets of carp, eels and snakeheads",41162,Kilogram,0,?,2290192.0
3044200,Fresh or chilled fillets of trout,20,Kilogram,0,?,2260.0
3044900,Other fresh or chilled fish fillets,16859,Kilogram,0,?,1489165.0
3045100,"Fresh or chilled meat of tilapias , catfish, carp, eels, Nile perch and snakeheads",351934,Kilogram,0,?,12813411.0
3045900,Other fresh or chilled meat of fish,20615,Kilogram,0,?,329840.0
3046100,Frozen fillets of tilapias,976571,Kilogram,0,?,26796360.0
3046211,Frozen fillets of channel catfish,13620,Kilogram,0,?,387176.0
3046290,Frozen fillets of other catfish,37872,Kilogram,0,?,1560330.0
3046300,Frozen fillets of Nile perch,360,Kilogram,0,?,15527.0
3046900,Frozen fillets of carp/eels/snakeheads,98691,Kilogram,0,?,5717600.0
3047100,Frozen fillets of cod,1374343,Kilogram,0,?,73856146.0
3047200,Frozen fillets of haddock,502973,Kilogram,0,?,24361126.0
3047300,Frozen fillets of coalfish,99069,Kilogram,0,?,4583465.0
3047400,Frozen fillets of Hake,195613,Kilogram,0,?,5879076.0
3047500,Frozen fillets of Alaska pollack,3330831,Kilogram,0,?,64276800.0
3047900,Frozen fillets of fish of the families Bregmacerotidae and Euclichthyidae etc.,280741,Kilogram,0,?,10478881.0
3048100,Frozen fillets of Pacific/Atlantic/Danude salmon,1112927,Kilogram,0,?,54211436.0
3048200,Frozen fillets of trout,27692,Kilogram,0,?,2830053.0
3048300,Frozen fillets of flat fish,1153975,Kilogram,0,?,48005358.0
3048600,Frozen fillets of herrings,8040,Kilogram,0,?,198831.0
3048700,"Frozen fillets of tunas, skipjack tuna (stripe-bellied bonito)",1245056,Kilogram,0,?,61212926.0
3048800,"Frozen fillets of dogfish, other sharks, rays and skates",50000,Kilogram,0,?,640478.0
3048900,Frozen fillets of other fish,3292419,Kilogram,0,?,133801465.0
3049100,Frozen meat of swordfish,27700,Kilogram,0,?,1148244.0
3049300,"Frozen meat of tilapias, catfish , carp, eels, Nile perch and snakeheads",125,Kilogram,0,?,13501.0
3049400,Frozen meat of Alaska pollack,382819,Kilogram,0,?,5777838.0
3049500,"Frozen meat of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae etc, other than Alaska Pollack",353186,Kilogram,0,?,23578226.0
3049700,Frozen meat of rays and skates,7590,Kilogram,0,?,120037.0
3049900,Frozen meat of other fish,2520238,Kilogram,0,?,76857267.0
3052000,"Dried/smoked/salted fish livers,roes and milt",106934,Kilogram,0,?,7491360.0
3053200,"Dried/salted fish fillets of the families Bregmacerotidae, Euclichthyidae, Gadidae,Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",502253,Kilogram,0,?,16481290.0
3053900,Dried/salted fillets of other fish,27698,Kilogram,0,?,2281238.0
3054110,Smoked Atlantic salmon(excl.offal),111,Kilogram,0,?,17157.0
3054200,Smoked herrings(excl.offal),383433,Kilogram,0,?,10138217.0
3054300,Smoked trout(excl.offal),36090,Kilogram,0,?,4300054.0
3054900,Other smoked fish(excl.edible offal),116119,Kilogram,0,?,6747365.0
3055100,Dried cod(excl.offal),9388,Kilogram,0,?,793727.0
3055300,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae etc, other than cod",63850,Kilogram,0,?,5209935.0
3055490,"Dried herrings, anchovies, sardines,mackerel,seerfishes,Pacific saury, swordfish, bonitos etc.",454554,Kilogram,0,?,14599684.0
3055990,Other dried fish(excl.offal),457880,Kilogram,0,?,31927882.0
3056100,Salted herrings(excl.offal),680,Kilogram,0,?,27574.0
3056200,Salted cod(excl.offal),104200,Kilogram,0,?,3215170.0
3056990,"Salted fish,nes(excl.offal)",71091,Kilogram,0,?,1874816.0
3057100,Shark fins,599,Kilogram,0,?,562237.0
3057200,"Fish heads, tails and maws",4099,Kilogram,0,?,1970959.0
3057900,Other fish fins and edible offal,39800,Kilogram,0,?,1531607.0
3061200,Frozen lobsters,6000,Kilogram,0,?,846000.0
3061410,Frozen swimming crabs,867169,Kilogram,0,?,25127630.0
3061490,Other frozen crabs,101176,Kilogram,0,?,13626350.0
